17.50,30.77,50.00,40.00
17.60,31.47,50.00,40.00
17.70,32.61,50.00,40.00
17.80,31.72,50.00,40.00
17.90,31.32,50.00,40.00
18.00,33.29,50.00,40.00
18.10,33.61,50.00,40.00
18.20,33.77,50.00,40.00
18.30,33.46,50.00,40.00
18.40,33.24,50.00,40.00
18.50,33.55,50.00,40.00
18.60,34.59,50.00,40.00
18.70,33.90,50.00,40.00
18.80,35.07,50.00,40.00
18.90,34.88,50.00,40.00
19.00,36.19,50.00,40.00
19.10,35.47,50.00,40.00
19.20,34.62,50.00,40.00
19.30,36.34,50.00,40.00
19.40,36.09,50.00,40.00
19.50,36.03,50.00,40.00
19.60,35.54,50.00,40.00
19.70,36.55,50.00,40.00
19.80,37.09,50.00,40.00
19.90,37.55,50.00,40.00
20.00,36.35,50.00,40.00
20.10,36.40,50.00,40.00
20.20,37.44,50.00,40.00
20.30,36.22,50.00,40.00
20.40,38.23,50.00,40.00
20.50,38.27,50.00,40.00
20.60,37.28,50.00,40.00
20.70,37.74,50.00,40.00
20.80,36.93,50.00,40.00
20.90,38.32,50.00,40.00
21.00,37.06,50.00,40.00
21.10,37.66,50.00,40.00
21.20,36.85,50.00,40.00
21.30,37.97,50.00,40.00
21.40,38.23,50.00,40.00
21.50,36.99,50.00,40.00
21.60,37.21,50.00,40.00
21.70,38.52,50.00,40.00
21.80,37.91,50.00,40.00
21.90,38.79,50.00,40.00
22.00,38.35,50.00,40.00
22.10,38.82,50.00,40.00
22.20,37.84,50.00,40.00
22.30,37.99,50.00,40.00
22.40,38.17,50.00,40.00
22.50,38.14,50.00,40.00
22.60,37.30,50.00,40.00
22.70,38.25,50.00,40.00
22.80,38.71,50.00,40.00
22.90,38.12,50.00,40.00
23.00,38.30,50.00,40.00
23.10,38.02,50.00,40.00
23.20,38.81,50.00,40.00
23.30,37.86,50.00,40.00
23.40,38.78,50.00,40.00
23.50,37.69,50.00,40.00
23.60,38.92,50.00,40.00
23.70,38.16,50.00,40.00
23.80,37.99,50.00,40.00
23.90,37.84,50.00,40.00
24.00,38.04,50.00,40.00
24.10,38.83,50.00,40.00
24.20,38.02,50.00,40.00
24.30,38.69,50.00,40.00
24.40,38.80,50.00,40.00
24.50,37.42,50.00,40.00
24.60,38.58,50.00,40.00
24.70,38.56,50.00,40.00
24.80,37.53,50.00,40.00
24.90,38.72,50.00,40.00
25.00,37.65,50.00,40.00
25.10,38.86,50.00,40.00
25.20,38.10,50.00,40.00
25.30,38.82,50.00,40.00
25.40,38.61,50.00,40.00
25.50,38.73,50.00,40.00
25.60,38.67,50.00,40.00
25.70,38.46,50.00,40.00
25.80,38.66,50.00,40.00
25.90,38.31,50.00,40.00
26.00,37.63,50.00,40.00
26.10,38.60,50.00,40.00
26.20,38.46,50.00,40.00
26.30,38.49,50.00,40.00
26.40,38.06,50.00,40.00
26.50,38.61,50.00,40.00
26.60,38.37,50.00,40.00
26.70,38.79,50.00,40.00
26.80,38.94,50.00,40.00
26.90,38.66,50.00,40.00
27.00,37.66,50.00,40.00
27.10,39.22,50.00,40.00
27.20,37.50,50.00,40.00
27.30,38.19,50.00,40.00
27.40,38.92,50.00,40.00
